id,task,framework,constraint,fold,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss,mae,models,models_ensemble_count,r2,rmse,tag
openml.org/t/190411,ada,H2OAutoML_pull_5274,1h8c,3,0.927573,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:20:09,2476.6,2449.9,0,60,437619952,,0.857831,0.927573,0.788384,0.293077,,,,,,
openml.org/t/190411,ada,H2OAutoML_pull_5274_exclude_dl,1h8c,3,0.920836,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T08:42:17,141.8,115.9,0.1,53,1147936302,,0.86988,0.920836,0.812656,0.302175,,,,,,
openml.org/t/7592,adult,H2OAutoML_pull_5274,1h8c,3,0.925594,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:31:29,3103.7,3022.5,0.2,150,437619952,,0.864865,0.925594,0.815504,0.283226,,,,,,
openml.org/t/7592,adult,H2OAutoML_pull_5274_exclude_dl,1h8c,3,0.927232,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T08:55:43,936.1,884.4,0.5,73,1147936302,,0.865889,0.927232,0.818232,0.298307,,,,,,
openml.org/t/189354,Airlines,H2OAutoML_pull_5274,1h8c,3,0.732975,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:36:33,3444.3,3329.5,3.1,37,437619952,,0.614391,0.732975,0.636711,0.59816,,,,,,
openml.org/t/189354,Airlines,H2OAutoML_pull_5274_exclude_dl,1h8c,3,0.732703,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:36:13,3307.6,3197.3,2.7,37,1147936302,,0.615373,0.732703,0.637184,0.598382,,,,,,
openml.org/t/189356,Albert,H2OAutoML_pull_5274,1h8c,3,0.743741,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:50:51,4226,3861.7,2.2,12,437619952,,0.651703,0.743741,0.651703,0.597069,,,,,,
openml.org/t/189356,Albert,H2OAutoML_pull_5274_exclude_dl,1h8c,3,0.761889,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:41:36,3663.8,3298.3,2.5,18,1147936302,,0.671292,0.761889,0.671292,0.581386,,,,,,
openml.org/t/34539,Amazon_employee_access,H2OAutoML_pull_5274,1h8c,3,0.867663,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:35:34,3324.6,3194,0.9,166,437619952,,0.951175,0.867663,0.633279,0.149299,,,,,,
openml.org/t/34539,Amazon_employee_access,H2OAutoML_pull_5274_exclude_dl,1h8c,3,0.876988,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:35:52,3209.7,3084.5,0.5,263,1147936302,,0.95148,0.876988,0.660606,0.148953,,,,,,
openml.org/t/168868,APSFailure,H2OAutoML_pull_5274,1h8c,3,0.987241,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:37:50,3450.4,3382.5,0.3,34,437619952,,0.994868,0.987241,0.911404,0.0167296,,,,,,
openml.org/t/168868,APSFailure,H2OAutoML_pull_5274_exclude_dl,1h8c,3,0.991134,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:35:41,3260.2,3190,0.3,34,1147936302,,0.995395,0.991134,0.915254,0.0164625,,,,,,
openml.org/t/190412,arcene,H2OAutoML_pull_5274,1h8c,3,0.791667,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:32:47,3111.8,3059.4,0.3,48,437619952,,0.8,0.791667,0.75,0.7506,,,,,,
